oldTerm;newTerm
Botnet;Network Security
Compliance;"Governance, Risk and Compliance"
malware;Malware
phishing;Phishing
Ransomware;Ransomware
Spyware;Security Program Controls/Technologies
Cybersecurity Companies;Channel partners
MSSPs;MSSP
Partner Programs;Channel partner programs
Cybersecurity Services and Products;Security Program Controls/Technologies
AI;Generative AI
Cloud Security Services;Cloud Security
Encryption;Encryption
Endpoint Security Services;Endpoint/Device Security
Identity and Access Management;Identity
Incident Response;Incident Response
Internet of Things;IoT
MDR;MDR
Mobile;Distributed Workforce
Network;Network Security
SASE;SASE
Security Operations Center;SOC
SIEM;Security Operations
Threat Intelligence;Threat Intelligence
Unified Threat Management;Threat Management
XDR;XDR
Cybersecurity Talent;Security Staff Acquisition & Development
investments;Channel investors
Channel markets;Channel markets
Americas;Americas
Asia Pacific;Asia Pacific
EMEA;EMEA
Enterprise;Enterprise
Europe;Europe
midmarket;Midmarket
Small Business;Small business
Vertical markets;Vertical markets
Uncategorized;Content
Cybersecurity Markets;Channel markets
Verticals;Vertical markets
