guest_author_id, guest_author_name
"12","Scott Heinlein"
"19","Nicholas Logan"
"25","Fahmida Rashid"
"32","Melissa Ventrone"
"34","Javed Ikbal"
"35","Saxxon McCarthy"
"43","Alan Earls"
"44","Bradley Barth"
"45","Danny Bradbury"
"46","Doug Olenick"
"47","Greg Masters"
"48","SC Magazine"
"49","Illena Armstrong"
"50","Jeremy Davis"
"51","Karen Hoffman"
"52","Max Metzger"
"53","Peter Stephenson"
"54","Robert Abel"
"55","Roi Perez"
"56","Ryan Goldberg"
"57","Teri Robinson"
"58","Tom Reeve"
"59","Tony Morbin"
"569","Dan Ilett"
"570","Jon Tullett"
"571","Rene Millman"
"572","Ron Condon"
"573","Brian M. Ahern"
"574","Bob Stream"
"575","Melisa LaBancz-Bleasdale"
"576","Nick Scales"
"577","John J. Barbara"
"578","Andrew Waterston"
"579","Mark Wheeler"
"580","Jane Frankland"
"581","Brooke Brown"
"582","Jack Krichen"
"583","Stevens R. Miller"
"584","Lou D'Ambrosio"
"585","Burk Murray"
"586","Adam Lipson"
"587","Arvind Krishna"
"588","Darren Thomas"
"589","Jonathan Gossels, Brad C. Johnson, and Cheng Tang"
"590","John Wilson"
"591","Dan Houser"
"592","Jean-Charles Barbou"
"593","Mark Sunner"
"594","Geoff Haggart"
"595","Phil Hollows"
"596","Matt Newman"
"597","Tom Scholtz"
"598","Jane Murphy"
"599","Calum Macleod"
"600","Yuval Ben-Itzhak"
"601","Magnus Ahlberg"
"602","Fred Pinkett"
"603","Robert Ma"
"604","Phil Carter"
"605","Gunter Ollmann"
"606","David Kavanagh"
"607","Jon Haynes"
"608","Peter Hough"
"609","Thomas Lee"
"610","Ian Kilpatrick"
"611","Ken Araujo"
"612","John Alcock"
"613","Richard Starnes"
"614","Dan Emory"
"615","Stacey Lum"
"616","Shane O'Donnell"
"617","Tom Goodman"
"618","Throop Wilder"
"619","A. Bryan Sartin"
"620","Dow A. Williamson, CISSP"
"621","Jan Hichert"
"623","Jackie Groves"
"624","Paul Rutherford"
"625","Carl Gohringer"
"626","Glyn Baker"
"627","Stephen Scharf"
"628","Ron Miller"
"629","Oliver Tattan"
"630","Kevin LeBlanc"
"631","Chris Belthoff"
"632","Robert Clyde"
"633","Gerhard Eschelbeck"
"634","Dan Taylor"
"635","Tony Anscombe"
"636","Landon Curt Noll"
"637","Iain Franklin"
"638","Ian Tickle"
"639","Robert Lonadier"
"640","Steve Mathews"
"641","Pete Simpson"
"642","Joan Herbig"
"643","Scott C. Nevins"
"644","Anthony T. Baratta"
"645","Russ Cummings"
"646","Fernando de la Cuadra"
"647","Mark Searle"
"648","David Love"
"649","Richard Moulds"
"650","Philip Conrod"
"651","Linda Hughes"
"652","Robert V. Jacobson"
"653","Mark Altman"
"654","Matt Tomlinson"
"655","Amer Deeba"
"656","Jack Clark"
"657","Dick Mackey"
"658","Nathan Millard"
"659","Sadie Creese"
"660","Diana Kelley"
"661","Kurt Lennartsson"
"662","Jeff Drake"
"663","Alan Lycett"
"664","Paul Ardoin"
"665","Vanessa Chandrasekaran"
"666","Peter Wood"
"667","Ron Baklarz"
"668","Steve Schlesinger"
"669","Richard Lowe"
"670","Martin Sutherland"
"671","Robert Chapman"
"672","Mike Small"
"673","Paul Collins"
"674","Richard Walters"
"675","Guy Vancollie"
"676","William J Malik"
"677","Adrian Reid"
"678","Ann James"
"679","Kevin Thiele"
"680","Ken Douglas"
"681","Jack Nagle"
"682","Mike Lee"
"683","Dennis Seymour Lee"
"684","Olivier Chavrier"
"685","Simon Foster"
"687","Kerry Davies"
"688","David Hicks and Chris Dunn"
"689","Paul Jackson"
"690","Jim Simmons"
"691","Franklyn Jones"
"692","Jim Burns"
"693","Diane Seddon"
"694","Kevin Riches"
"695","Steve Lord"
"696","Bob Lonadier"
"697","Ian Davidson"
"698","Jerome Nadel"
"699","Carole Theriault"
"700","Martin Gagen and Mikko Suonenlahti"
"701","Stu Vaeth"
"702","Elizabeth J. Wood"
"703","Robin Gaddum"
"704","Lee Imrey"
"705","Dave Birch"
"706","Jon Callas"
"707","Tim Keanini"
"708","Peter Jopling"
"709","Chris Burchett"
"710","Keith Tilley"
"711","Neal Ysart"
"712","James L. Bindseil"
"713","Chris Pick"
"714","Stephen Wilson"
"715","Caleb Sima"
"716","Abhishek Chauhan"
"717","Steven Drew and Joe Stewart"
"718","Bob Whelan"
"720","Ryon Packer"
"721","Steve Crawford"
"722","Julie Jervis"
"723","Ben Rothke"
"724","Barbara Gengler"
"725","Julie Jervus"
"726","Ron Mobed"
"727","Jonathan Gossels and Dick Mackey"
"728","Jerry Harold"
"729","Elton Hay"
"730","David Hicks"
"731","Tana Scouras"
"732","Chris Mullins"
"733","John Young"
"734","Carlos Valiente"
"735","John Patzakis"
"736","Tari Schreider"
"737","Louise Murray"
"738","Ray Zadjmool"
"739","Roger Sullivan"
"740","John Korsak"
"741","Stewart Buchanan"
"742","Jon Bogen"
"743","Daniel Murton"
"744","Curtis Franklin"
"745","Dave Piscitello"
"746","Steve Gold"
"747","David Foote"
"748","Marcia Savage"
"749","Mark Fischer"
"750","Bob Heard"
"751","Richard Andrews"
"752","John Woodward"
"753","Jason Buffington"
"754","Richard O'Connor"
"755","Philip Carter"
"756","Stuart Vaeth"
"757","Robert Blakley"
"758","Paul Lawrence"
"759","Itay Haber"
"760","Peter Doyle"
"761","Fredric Greene and Richard Rabinowitz"
"762","Ric Steinberger"
"763","Abishek Chauhan"
"764","Larry Gilbert"
"765","Larry Lunetta"
"766","Rodney Denno"
"767","David Cullinane"
"768","Lisa Dargan"
"769","Yona Hollander"
"770","Steve House and Frank Cabri"
"771","John T. Sabo and Yuriy A. Dzambasow"
"772","Sarah Gordon"
"773","Michael P. Flaherty"
"774","Ian Emery"
"775","Dan MacDonald"
"776","Johnson Wu, Philip Joung, John Kenney"
"777","Neil Gehani"
"778","Carlos Ardanza"
"779","Scott S. Blake"
"780","Jason B. Lee"
"781","Ralph Shaw"
"782","Rett Summerville"
"783","Peder Jungck"
"784","Jaime Borrego"
"785","Paul Barker"
"786","S. K. Ganapathi"
"787","Richard Willmott"
"788","Mark Epstein"
"789","Todd Lawson"
"790","John Bernardi"
"791","Vince Liu"
"792","Joseph Steinberg"
"793","Dan Mares"
"794","Arnt Brox"
"795","Amit Klein"
"796","Jay Chaudhry"
"797","Jack Wiles"
"798","Tanya Candia"
"799","Melisa LaBancz"
"800","Bob Ayers"
"801","Interpol European Working Group on Information Technology Crime"
"802","Malcolm Rieke"
"803","Jason Reed and Jonathan Gossels"
"804","Jayne Parkhouse"
"805","Anton Chuvakin"
"806","Alan B. Sterneckert"
"807","Taher Elgamal"
"808","Dan Cuthbert"
"809","Thresa Lang"
"810","Bob Brennan"
"811","Sean Jackson"
"812","Steven Jenkins"
"813","Stephen Northcutt and Judy Novak"
"814","Martin. W. Dougall"
"815","Dick Mackey and Phil Cox"
"816","Tony Caine"
"817","Teresa Lang"
"818","Ed Hearst"
"819","Andy Evans"
"820","Dan Thomsen"
"821","Brad C. Johnson"
"822","Dean Coza"
"823","Stuart King"
"824","Bruno Lassus"
"825","Graham Peat"
"826","Harry Gostling"
"827","Nigel Hawthorn"
"828","Peter Crowcombe"
"829","Colin Wells"
"830","Richard Jones"
"831","Humphrey Browning"
"832","Sal Viveros"
"833","Kevin Cunningham"
