postId,author
"11","Sue    Poremba"
"13","Scott Heinlein"
"21","Nicholas Logan"
"29","Fahmida  Rashid"
"39","Melissa  Ventrone"
"42","Javed Ikbal"
"44","Saxxon McCarthy"
"53","Alan Earls"
"54","Bradley Barth"
"55","Danny Bradbury"
"56","Doug Olenick"
"57","Greg Masters"
"58","SC Magazine"
"59","Illena Armstrong"
"60","Jeremy Davis"
"61","Karen Hoffman"
"62","Max Metzger"
"63","Peter Stephenson"
"64","Robert Abel"
"65","Roi Perez"
"66","Ryan Goldberg"
"67","Teri Robinson"
"68","Tom Reeve"
"69","Tony Morbin"
"10107","Dan Ilett"
"10112","Jon Tullett"
"10115","Rene Millman"
"10126","Ron Condon"
"10137","Brian M. Ahern "
"10140","Bob Stream"
"10143","Melisa LaBancz-Bleasdale"
"10146","Nick Scales"
"10149","John J. Barbara"
"10152","Andrew Waterston"
"10155","Mark Wheeler"
"10160","Jane Frankland"
"10163","Brooke Brown"
"10166","Jack Krichen"
"10171","Stevens R. Miller "
"10174","Lou D’Ambrosio"
"10177","Burk Murray"
"10180","Adam Lipson"
"10185","Arvind Krishna"
"10188","Darren Thomas"
"10191","Jonathan Gossels, Brad C. Johnson, and Cheng Tang"
"10194","John Wilson"
"10199","Dan Houser"
"10206","Jean-Charles Barbou"
"10209","Mark Sunner"
"10214","Geoff Haggart "
"10219","Phil Hollows "
"10226","Matt Newman"
"10229","Tom Scholtz"
"10232","Jane Murphy"
"10235","Calum Macleod"
"10242","Yuval Ben-Itzhak"
"10245","Magnus Ahlberg "
"10248","Fred Pinkett"
"10251","Robert Ma"
"10254","Phil Carter"
"10257","Gunter Ollmann"
"10260","David Kavanagh"
"10263","Jon Haynes"
"10270","Peter Hough"
"10275","Thomas Lee"
"10280","Ian Kilpatrick"
"10283","Ken Araujo"
"10286","John Alcock"
"10289","Richard Starnes"
"10292","Dan Emory"
"10297","Stacey Lum"
"10300","Shane O’Donnell"
"10303","Tom Goodman"
"10306","Throop Wilder"
"10309","A. Bryan Sartin"
"10312","Dow A. Williamson, CISSP"
"10315","Jan Hichert"
"10318","Jackie Groves"
"10321","Paul Rutherford"
"10324","Carl Gohringer"
"10329","Glyn Baker"
"10332","Stephen Scharf"
"10335","Ron Miller"
"10338","Oliver Tattan"
"10343","Kevin LeBlanc"
"10348","Chris Belthoff"
"10351","Robert Clyde "
"10354","Gerhard Eschelbeck"
"10357","Dan Taylor"
"10360","Tony Anscombe"
"10363","Landon Curt Noll"
"10366","Iain Franklin"
"10369","Ian Tickle"
"10372","Robert Lonadier"
"10375","Steve Mathews"
"10378","Pete Simpson"
"10385","Joan Herbig"
"10388","Scott C. Nevins"
"10391","Anthony T. Baratta"
"10394","Russ Cummings"
"10397","Fernando de la Cuadra"
"10400","Mark Searle"
"10403","David Love"
"10408","Richard Moulds"
"10415","Philip Conrod"
"10418","Linda Hughes"
"10423","Robert V. Jacobson"
"10426","Mark Altman"
"10429","Matt Tomlinson"
"10432","Amer Deeba"
"10435","Jack Clark"
"10438","Dick Mackey"
"10443","Nathan Millard"
"10446","Sadie Creese"
"10449","Diana Kelley"
"10452","Kurt Lennartsson"
"10455","Jeff Drake"
"10458","Alan Lycett "
"10461","Paul Ardoin "
"10464","Vanessa Chandrasekaran "
"10471","Peter Wood"
"10474","Ron Baklarz "
"10477","Steve Schlesinger"
"10480","Richard Lowe"
"10483","Martin Sutherland"
"10486","Robert Chapman"
"10489","Mike Small"
"10492","Paul Collins"
"10495","Richard Walters"
"10500","Guy Vancollie"
"10503","William J Malik"
"10508","Adrian Reid"
"10511","Ann James"
"10516","Kevin Thiele"
"10521","Ken Douglas"
"10528","Jack Nagle"
"10531","Mike Lee"
"10534","Dennis Seymour Lee"
"10537","Olivier Chavrier"
"10540","Simon Foster"
"10546","Kerry Davies"
"10549","David Hicks and Chris Dunn"
"10554","Paul Jackson"
"10557","Jim Simmons"
"10560","Franklyn Jones"
"10567","Jim Burns"
"10572","Diane Seddon"
"10575","Kevin Riches"
"10578","Steve Lord"
"10581","Bob Lonadier"
"10584","Ian Davidson"
"10587","Jerome Nadel"
"10590","Carole Theriault"
"10593","Martin Gagen and Mikko Suonenlahti"
"10596","Stu Vaeth "
"10599","Elizabeth J. Wood"
"10604","Robin Gaddum"
"10607","Lee Imrey"
"10610","Dave Birch"
"10613","Jon Callas"
"10616","Tim Keanini "
"10619","Peter Jopling"
"10622","Chris Burchett"
"10625","Keith Tilley"
"10628","Neal Ysart"
"10631","James L. Bindseil"
"10634","Chris Pick "
"10639","Stephen Wilson "
"10642","Caleb Sima"
"10645","Abhishek Chauhan "
"10650","Steven Drew and Joe Stewart"
"10655","Bob Whelan"
"10661","Ryon Packer "
"10664","Steve Crawford"
"10667","Julie Jervis "
"10670","Ben Rothke"
"10673","Barbara Gengler"
"10676","Julie Jervus "
"10679","Ron Mobed "
"10684","Jonathan Gossels and Dick Mackey"
"10691","Jerry Harold"
"10696","Elton Hay "
"10701","David Hicks"
"10712","Tana Scouras"
"10719","Chris Mullins"
"10724","John Young "
"10727","Carlos Valiente "
"10730","John Patzakis"
"10733","Tari Schreider "
"10736","Louise Murray "
"10741","Ray Zadjmool"
"10746","Roger Sullivan"
"10751","John Korsak"
"10756","Stewart Buchanan"
"10761","Jon Bogen "
"10764","Daniel Murton "
"10767","Curtis Franklin"
"10770","Dave Piscitello"
"10775","Steve Gold"
"10778","David Foote "
"10799","Marcia Savage "
"10802","Mark Fischer"
"10807","Bob Heard "
"10818","Richard Andrews"
"10825","John Woodward "
"10830","Jason Buffington"
"10837","Richard O’Connor"
"10842","Philip Carter"
"10845","Stuart Vaeth"
"10848","Robert Blakley"
"10851","Paul Lawrence"
"10856","Itay Haber "
"10861","Peter Doyle "
"10866","Fredric Greene and Richard Rabinowitz "
"10871","Ric Steinberger"
"10874","Abishek Chauhan"
"10877","Larry Gilbert"
"10880","Larry Lunetta"
"10885","Rodney Denno"
"10888","David Cullinane"
"10893","Lisa Dargan"
"10896","Yona Hollander"
"10901","Steve House and Frank Cabri"
"10906","John T. Sabo and Yuriy A. Dzambasow"
"10909","Sarah Gordon"
"10912","Michael P. Flaherty"
"10917","Ian Emery"
"10920","Dan MacDonald"
"10923","Johnson Wu, Philip Joung, John Kenney"
"10926","Neil Gehani"
"10929","Carlos Ardanza"
"10932","Scott S. Blake"
"10935","Jason B. Lee"
"10938","Ralph Shaw"
"10941","Rett Summerville"
"10944","Peder Jungck"
"10947","Jaime Borrego"
"10950","Paul Barker"
"10953","S. K. Ganapathi"
"10960","Richard Willmott"
"10963","Mark Epstein"
"10966","Todd Lawson"
"10969","John Bernardi"
"10972","Vince Liu"
"10975","Joseph Steinberg"
"10978","Dan Mares"
"10981","Arnt Brox"
"10984","Amit Klein"
"10987","Jay Chaudhry"
"10992","Jack Wiles"
"10995","Tanya Candia"
"11000","Melisa LaBancz"
"11005","Bob Ayers"
"11010","Interpol European Working Group on Information Technology Crime"
"11013","Malcolm Rieke"
"11016","Jason Reed and Jonathan Gossels"
"11019","Jayne Parkhouse"
"11022","Anton Chuvakin"
"11027","Alan B. Sterneckert"
"11034","Taher Elgamal"
"11037","Dan Cuthbert"
"11040","Thresa Lang"
"11045","Bob Brennan"
"11050","Sean Jackson"
"11059","Steven Jenkins"
"11068","Stephen Northcutt and Judy Novak"
"11071","Martin. W. Dougall"
"11074","Dick Mackey and Phil Cox"
"11079","Tony Caine"
"11092","Teresa Lang"
"11095","Ed Hearst"
"11098","Andy Evans"
"11103","Dan Thomsen"
"11112","Brad C. Johnson"
"11115","Dean Coza"
"11118","Stuart King"
"11123","Bruno Lassus"
"11126","Graham Peat"
"11141","Harry Gostling"
"11144","Nigel Hawthorn"
"11147","Peter Crowcombe"
"11150","Colin Wells"
"11157","Richard Jones "
"11160","Humphrey Browning "
"11163","Sal Viveros "
"11168","Kevin Cunningham "
