term_id;term_name;taxonomy_name
75226;Ce2e-Sponsor-Pax8;advanced_ads_groups
75225;Ce2e-Sponsor-House;advanced_ads_groups
75224;Ce2e-Sponsor-N-able;advanced_ads_groups
75223;Ce2e-Sponsor-Addigy;advanced_ads_groups
75222;Ce2e-Sponsor-Watchguard;advanced_ads_groups
75220;Ce2e-Sponsor-Superopsai;advanced_ads_groups
75219;Ce2e-Sponsor-Atera;advanced_ads_groups
75218;Ce2e-Sponsor-Focus;advanced_ads_groups
75217;Ce2e-Sponsor-Sophos;advanced_ads_groups
75216;Ce2e-Sponsor-Egnyte;advanced_ads_groups
75215;Ce2e-Sponsor-Itbydesign;advanced_ads_groups
75214;Ce2e-Sponsor-Axcient;advanced_ads_groups
75213;Ce2e-Sponsor-7figmsp;advanced_ads_groups
75212;Ce2e-Sponsor-Sherweb;advanced_ads_groups
75210;Ce2e-Sponsor-Acronis;advanced_ads_groups
75209;Ce2e-Sponsor-Servicetree;advanced_ads_groups
75208;Ce2e-Sponsor-Continuum;advanced_ads_groups
75207;Ce2e-Sponsor-Vipre;advanced_ads_groups
75206;Ce2e-Sponsor-Solarwindsmsp;advanced_ads_groups
75205;Ce2e-Sponsor-Ninjarmm;advanced_ads_groups
75204;Ce2e-Sponsor-Itglue;advanced_ads_groups
75202;Ce2e-Sponsor-Datto;advanced_ads_groups
75201;Ce2e-Sponsor-Connectwise;advanced_ads_groups
75200;Ce2e-Sponsor-Cisco;advanced_ads_groups
75199;Ce2e-Sponsor-Appriver;advanced_ads_groups
75198;Ce2e-Sponsor-Ad;advanced_ads_groups
75011;Mssp House;advanced_ads_groups
75006;Newsletter DailyScan: Pre 2nd content item;advanced_ads_groups
75002;Newsletter Ransomware: Pre 2nd content item;advanced_ads_groups
75000;Newsletter ThreatHorizon: Pre 2nd content item;advanced_ads_groups
74999;Newsletter CloudSecurity: Pre 2nd content item;advanced_ads_groups
74996;MSSP Fastly;advanced_ads_groups
74969;Newsletter CloudSecurity: In-house main AD;advanced_ads_groups
74968;Newsletter ai: Pre 2nd content item;advanced_ads_groups
74967;Newsletter ai: In-house main AD;advanced_ads_groups
74966;Newsletter ai: Bottom;advanced_ads_groups
74965;Newsletter DailyScan: In-house main AD;advanced_ads_groups
74964;Newsletter appsec: Pre 4th content item;advanced_ads_groups
74963;Newsletter appsec: Pre 2nd content item;advanced_ads_groups
74962;Newsletter appsec: In-house main AD;advanced_ads_groups
