term_id;term_name;taxonomy_name
75171;"Director, Information Security &amp; Regulatory Compliance";job_title
75168;"Governance Risk &amp; Compliance";job_title
75154;Regional CISO - Americas;job_title
75144;Sr. Director of Corporate Security;job_title
75091;Senior VP, Chief Information Security Officer;job_title
75089;Director, Enterprise Architecture and Information Security;job_title
75088;Governance, Risk and Compliance;job_title
75079;"Founder &amp; Principal";job_title
75077;SVP / CISO;job_title
75070;VP, IT Security;job_title
75067;Global Head of Information Technology Security Office;job_title
75066;Global Governance, Risk and Compliance;job_title
75063;Chief Architect Officer;job_title
75059;"Vice President Information Security &amp; Project Management";job_title
75058;"Global Cybersecurity GRC &amp; Data Privacy Director";job_title
75055;"Director IT Security &amp; Compliance";job_title
75052;"Cybersecurity &amp; Compliance Director";job_title
75051;VP Technology;job_title
75048;CEO/Cofounder;job_title
75036;Founder and Chief Executive Officer;job_title
75033;EVP/CISO;job_title
75031;"VP &amp; CISO, Cisco CX Cloud";job_title
75029;Nile;job_title
75024;VP, Supply Chain Security;job_title
74987;Head, Cyber Risk Engineering;job_title
74986;InfoSec Manager;job_title
74985;Dir, InfoSec and Privacy;job_title
74984;Sr. Dir, InfoSec and Compliance;job_title
74982;Global GRC;job_title
74976;Global Dir, Security Governance;job_title
74971;Dir, Cyber and InfoSec;job_title
74954;AVP, Security;job_title
74950;Sr.Dir, InfoSec;job_title
74945;Executive Dir, Cyber Payments, Fraud, Insider Threat Analytics;job_title
74944;Dir, Cyber Security;job_title
74940;TRIFIDENT;job_title
74939;Sr. Director of IT;job_title
74938;VP, Technology Risk;job_title
74937;Sr. Director, IS;job_title
74936;CCO;job_title
74934;Senior Vice President and CISO for Oracle SaaS Cloud;job_title
74930;Vice President, LA CTO;job_title
74928;"Global GRC &amp; DP Director";job_title
74925;Senior Market Strategy Manger;job_title
74902;VP CISO;job_title
74901;Former Chief Digital Trust Officer, CISO;job_title
74896;AVP IT Technology and Infrasctructure;job_title
74869;Sr. Manager, Information Security;job_title
74868;Head of Security Risk and Compliance;job_title
74867;"Cybersecurity Governance Risk &amp; Compliance Manager";job_title
74866;Regional ISO;job_title
74864;Director of Cybersecurity, CISO;job_title
74860;Senior Vice President, Director of Incident Response;job_title
74859;SVP of Information Infrastructure and Security;job_title
74857;Director InfoSec;job_title
74856;Director Cybersecurity;job_title
74852;"Head of CyberRisk &amp; Compliance";job_title
74830;"Head od CyberRisk&amp; Compliance";job_title
74829;Director of Cyber Security;job_title
74824;associate director N America CTI;job_title
74821;Cybersecurity Leader;job_title
74820;Senior Technical Program Manager;job_title
74819;"Senior Driector, Enterprise architect &amp; Data Protection Officer";job_title
74818;Strategic Advisor;job_title
74817;"VP - Global IT &amp; Information Security";job_title
74812;Global Chief Information and Product Security Officer;job_title
74806;Director Cyber Threat Intelligence North America;job_title
74804;"SVP, CIO &amp; CSO";job_title
74799;CISO Ambassador;job_title
74797;"Director of Information &amp; Cyber Security";job_title
74788;"Assistant VP &amp; Deputy Chief Information Security Officer";job_title
74787;"SVP of Global Information Security &amp; Risk";job_title
74786;"Sr. VP &amp; CISO";job_title
74785;"Director Information Security &amp; Risk Management";job_title
74783;SVP Technology Risk;job_title
74780;Senior Director of IT;job_title
74779;"Chief Privacy Officer &amp; AGC Privacy &amp; Cybersecurity";job_title
74778;Sr Director - Technology Risk Program Office;job_title
74777;"Global Manager: DevSecOps, AppSec &amp; VM";job_title
74776;AVP of Security - Identity and Access Management;job_title
74774;"VP, Global IT &amp; Security/ CISO";job_title
74773;CIO/CSO;job_title
74772;"VP, Cybersecurity &amp; CISO";job_title
74696;SVP Technology Risk and Advanced Analytics;job_title
74695;"SVP Information Security &amp; Risk";job_title
74694;SVP, Information Security Director;job_title
74689;VP, Security IT (CISO);job_title
74682;Head of Global Cybersecurity Operations;job_title
74658;"Director, Architecture &amp; Cyber Security";job_title
74571;CISO/Director, Government Sector;job_title
74569;VP of IS;job_title
74564;Senior Cybersecurity Engineer;job_title
74562;Sr. Digital Director, Cybersecurity;job_title
74551;Head of Atos Client Security Services North America;job_title
74548;Senior Vice President, Audience Content Strategy;job_title
74547;"PMO &amp; CISO";job_title
74543;Senior Director, Information Security;job_title
74539;Adjunct Professor - MS in Cybersecurity Program;job_title
74538;CISO/CIO;job_title
74535;Director, PM, InfoSec, IT Support;job_title
74530;Former, CISO;job_title
74527;Director of Information Security/CISO;job_title
74520;SVP, Head of Cyber Ops;job_title
74519;CISO, Security Business Group;job_title
74516;CyberPoint LLC;job_title
74515;Zebra Technologies;job_title
74510;Director Cloud Security Architect;job_title
74509;ASIO;job_title
74503;Former, Information Security Officer;job_title
74500;Vice President, Product;job_title
74495;"Global CISO &amp; VP Security Research";job_title
74489;Founder and CISO;job_title
74453;"Vice President &amp; General Manager of VMware Carbon Black";job_title
74452;"SVP, Cybersecurity Marketing &amp; Strategy, OpenText Cybersecurity";job_title
74451;Sr. VP- CISO;job_title
74447;VP-Chief Technology Risk Officer;job_title
74444;Resident CISO;job_title
74443;AISO;job_title
74440;Sr. Director of IT Operations-CISO;job_title
74437;Director of IT, CISO;job_title
74433;SVP and GM of Security;job_title
74388;Chief Cybersecurity Officer;job_title
74386;Global Group Functions CISO;job_title
74384;Editorial Director, Channel Brands;job_title
74383;"CISO &amp; VP Security Research";job_title
74382;PR Manager;job_title
74373;Director of IT Security;job_title
74363;Barracuda Advisor and Assistant Professor at Columbia University;job_title
74358;Executive Vice President, CISO Community;job_title
74354;"CISO Services, Distribution &amp; Digital";job_title
74342;The Defenders Initiative;job_title
74341;Director of Reseach;job_title
74340;Main Host;job_title
